"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated","level"
"1.16.6.5","16f5","0308","CE","Tue 5 Sep 2006 02:06:32 GMT+00:00","4"
"1.16.6.6","16f6","0307","CE","Tue 5 Sep 2006 02:06:23 GMT+00:00","4"
"1.16.7","16g","0301","CE","Thu 7 Sep 2006 07:37:47 GMT+00:00","3"
"1.16.7.1","16g1","0309","CE","Tue 5 Sep 2006 02:06:58 GMT+00:00","4"
"1.16.7.2","16g2","0311","CE","Tue 5 Sep 2006 02:07:07 GMT+00:00","4"
"1.16.7.3","16g3","0312","CE","Tue 5 Sep 2006 02:07:10 GMT+00:00","4"
"1.16.7.4","16g4","0313","CE","Tue 5 Sep 2006 02:07:12 GMT+00:00","4"
"1.16.7.5","16g5","0314","CE","Tue 5 Sep 2006 02:07:13 GMT+00:00","4"
"1.16.7.6","16g6","0315","CE","Tue 5 Sep 2006 02:07:17 GMT+00:00","4"
"1.16.7.7","16g7","0316","CE","Tue 5 Sep 2006 02:07:21 GMT+00:00","4"
"1.16.7.8","16g8","0317","CE","Tue 5 Sep 2006 02:07:25 GMT+00:00","4"
"1.16.7.9","16g9","0318","CE","Tue 5 Sep 2006 02:07:27 GMT+00:00","4"
"1.16.7.10","16g10","0319","CE","Tue 5 Sep 2006 02:07:32 GMT+00:00","4"
"1.16.7.11","16g11","0320","CE","Tue 5 Sep 2006 02:07:33 GMT+00:00","4"
"1.16.8","16h","0336","CE","Thu 7 Sep 2006 07:38:14 GMT+00:00","3"
"1.16.8.1","16h1","0310","CE","Tue 5 Sep 2006 02:07:03 GMT+00:00","4"
"1.16.9","16i","0322","CE","Thu 7 Sep 2006 07:38:32 GMT+00:00","3"
"1.16.9.1","16i1","0323","CE","Tue 5 Sep 2006 02:07:59 GMT+00:00","4"
"1.17","17","0340","CE","Thu 7 Sep 2006 07:40:50 GMT+00:00","2"
"1.17.1","17a","0324","CE","Thu 7 Sep 2006 07:39:15 GMT+00:00","3"
"1.17.1.1","17a1","0325","CE","Tue 5 Sep 2006 02:09:01 GMT+00:00","4"
"1.17.1.2","17a2","0326","CE","Tue 5 Sep 2006 02:09:02 GMT+00:00","4"
"1.18","18","0342","CE","Thu 7 Sep 2006 07:48:11 GMT+00:00","2"
"1.18.1","18a","0343","CE","Thu 7 Sep 2006 07:48:57 GMT+00:00","3"
"1.18.2","18b","0344","CE","Thu 7 Sep 2006 07:49:12 GMT+00:00","3"
"1.18.3","18c","0347","CE","Fri 8 Sep 2006 00:02:08 GMT+00:00","3"
"1.18.4","18d","0348","ROSE","Wed 29 Oct 1980 07:19:33 GMT+00:00","3"
"1.18.5","18e","0349","CE","Fri 8 Sep 2006 00:04:08 GMT+00:00","3"
"1.18.6","18f","0350","CE","Fri 8 Sep 2006 00:03:42 GMT+00:00","3"
"1.18.7","18g","0353","CE","Fri 8 Sep 2006 00:05:17 GMT+00:00","3"
"1.18.7.1","18g1","0354","CE","Fri 8 Sep 2006 00:05:16 GMT+00:00","4"
"1.18.7.2","18g2","0355","CE","Fri 8 Sep 2006 00:05:25 GMT+00:00","4"
"1.19","19","0341","CE","Thu 7 Sep 2006 07:40:55 GMT+00:00","2"
"1.19.1","19a","0338","CE","Thu 7 Sep 2006 07:40:27 GMT+00:00","3"
"1.19.2","19b","0337","CE","Thu 7 Sep 2006 07:39:26 GMT+00:00","3"
