"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated","level"
"1.3.4.3","3d3","0238","ROSE","Thu 8 Jan 1981 00:36:58 GMT+00:00","4"
"1.3.4.4","3d4","0239","ROSE","Thu 8 Jan 1981 00:36:51 GMT+00:00","4"
"1.3.5","3e","0240","THOM","Fri 21 Dec 1979 00:33:33 GMT+00:00","3"
"1.3.5.1","3e1","0241","ROSE","Thu 8 Jan 1981 00:37:09 GMT+00:00","4"
"1.3.5.2","3e2","0242","ROSE","Sat 10 Jan 1981 00:32:44 GMT+00:00","4"
"1.3.5.3","3e3","0537","ROSE","Mon 12 Jan 1981 07:39:21 GMT+00:00","4"
"1.3.6","3f","0249","THOM","Fri 28 Dec 1979 00:23:34 GMT+00:00","3"
"1.3.6.1","3f1","0250","ROSE","Thu 8 Jan 1981 00:37:30 GMT+00:00","4"
"1.4","4","05","THOM","Thu 7 Aug 1980 06:01:19 GMT+00:00","2"
"1.4.1","4a","014","ROSE","Mon 12 Jan 1981 07:39:25 GMT+00:00","3"
"1.4.2","4b","015","ROSE","Thu 8 Jan 1981 00:37:54 GMT+00:00","3"
"1.4.3","4c","016","ROSE","Thu 8 Jan 1981 00:38:02 GMT+00:00","3"
"1.4.4","4d","017","ROSE","Sat 10 Jan 1981 00:34:20 GMT+00:00","3"
"1.4.4.1","4d1","018","ROSE","Mon 12 Jan 1981 07:39:36 GMT+00:00","4"
"1.4.4.2","4d2","019","ROSE","Sat 10 Jan 1981 00:33:12 GMT+00:00","4"
"1.4.4.3","4d3","020","ROSE","Mon 12 Jan 1981 07:39:57 GMT+00:00","4"
"1.4.4.4","4d4","021","ROSE","Thu 8 Jan 1981 00:38:52 GMT+00:00","4"
"1.4.4.5","4d5","022","ROSE","Mon 12 Jan 1981 07:39:46 GMT+00:00","4"
"1.4.4.6","4d6","033","ROSE","Thu 8 Jan 1981 00:39:07 GMT+00:00","4"
"1.4.4.6.1","4d6a","024","THOM","Wed 19 Dec 1979 01:14:04 GMT+00:00","5"
"1.4.4.6.1.1","4d6a1","025","THOM","Wed 19 Dec 1979 01:14:07 GMT+00:00","6"
"1.4.4.6.1.1.1","4d6a1a","028","THOM","Wed 19 Dec 1979 01:14:12 GMT+00:00","7"
"1.4.4.6.1.1.1.1","4d6a1a1","029","THOM","Wed 19 Dec 1979 01:14:16 GMT+00:00","8"
"1.4.4.6.1.1.1.2","4d6a1a2","030","THOM","Wed 19 Dec 1979 01:14:18 GMT+00:00","8"
"1.4.4.6.1.1.2","4d6a1b","031","THOM","Wed 19 Dec 1979 01:14:25 GMT+00:00","7"
"1.4.4.6.1.2","4d6a2","026","THOM","Wed 19 Dec 1979 01:14:08 GMT+00:00","6"
"1.4.4.6.1.3","4d6a3","027","THOM","Wed 19 Dec 1979 01:14:08 GMT+00:00","6"
"1.4.4.6.1.3.1","4d6a3a","032","THOM","Wed 19 Dec 1979 01:14:37 GMT+00:00","7"
"1.4.4.7","4d7","034","ROSE","Thu 8 Jan 1981 00:39:22 GMT+00:00","4"
"1.4.4.8","4d8","035","THOM","Wed 19 Dec 1979 02:02:57 GMT+00:00","4"
"1.4.4.8.1","4d8a","036","THOM","Wed 19 Dec 1979 02:02:29 GMT+00:00","5"
"1.4.4.8.1.1","4d8a1","037","THOM","Wed 19 Dec 1979 02:02:31 GMT+00:00","6"
"1.4.4.9","4d9","038","THOM","Wed 19 Dec 1979 02:02:33 GMT+00:00","4"
"1.4.4.10","4d10","039","ROSE","Sat 10 Jan 1981 00:33:36 GMT+00:00","4"
"1.4.4.10.1","4d10a","040","THOM","Wed 19 Dec 1979 02:02:40 GMT+00:00","5"
"1.4.4.10.2","4d10b","041","THOM","Wed 19 Dec 1979 02:02:42 GMT+00:00","5"
"1.4.4.10.2.1","4d10b1","042","THOM","Wed 19 Dec 1979 02:02:44 GMT+00:00","6"
"1.4.4.11","4d11","043","ROSE","Sat 10 Jan 1981 00:33:38 GMT+00:00","4"
"1.4.4.12","4d12","045","ROSE","Thu 8 Jan 1981 00:39:49 GMT+00:00","4"
"1.4.4.13","4d13","046","ROSE","Thu 8 Jan 1981 00:40:16 GMT+00:00","4"
"1.4.4.14","4d14","047","ROSE","Thu 8 Jan 1981 00:40:17 GMT+00:00","4"
"1.4.4.14.1","4d14a","048","THOM","Wed 19 Dec 1979 02:07:44 GMT+00:00","5"
"1.4.4.14.1.1","4d14a1","053","THOM","Wed 19 Dec 1979 02:07:52 GMT+00:00","6"
"1.4.4.14.1.1.1","4d14a1a","054","THOM","Wed 19 Dec 1979 02:07:54 GMT+00:00","7"
"1.4.4.14.1.2","4d14a2","050","THOM","Wed 19 Dec 1979 02:07:47 GMT+00:00","6"
"1.4.4.14.1.3","4d14a3","051","THOM","Wed 19 Dec 1979 02:07:49 GMT+00:00","6"
"1.4.4.14.1.4","4d14a4","055","THOM","Wed 19 Dec 1979 02:07:55 GMT+00:00","6"
"1.4.4.14.2","4d14b","065","THOM","Wed 19 Dec 1979 02:08:11 GMT+00:00","5"
"1.4.4.14.2.1","4d14b1","056","THOM","Wed 19 Dec 1979 02:07:57 GMT+00:00","6"
"1.4.4.14.2.1.1","4d14b1a","060","THOM","Wed 19 Dec 1979 02:08:03 GMT+00:00","7"
"1.4.4.14.2.1.1.1","4d14b1a1","061","THOM","Wed 19 Dec 1979 02:08:04 GMT+00:00","8"
"1.4.4.14.2.1.1.1.1","4d14b1a1a","062","THOM","Wed 19 Dec 1979 02:08:07 GMT+00:00","9"
"1.4.4.14.2.1.2","4d14b1b","064","THOM","Wed 19 Dec 1979 02:08:09 GMT+00:00","7"
"1.4.4.14.3","4d14c","059","THOM","Wed 19 Dec 1979 02:08:01 GMT+00:00","5"
"1.4.4.14.3.1","4d14c1","057","THOM","Wed 19 Dec 1979 02:07:58 GMT+00:00","6"
"1.4.4.14.3.1.1","4d14c1a","066","THOM","Wed 19 Dec 1979 02:08:12 GMT+00:00","7"
"1.4.4.14.3.1.1.1","4d14c1a1","049","THOM","Wed 19 Dec 1979 02:07:46 GMT+00:00","8"
"1.4.4.14.3.1.1.1.1","4d14c1a1a","052","THOM","Wed 19 Dec 1979 02:07:50 GMT+00:00","9"
"1.4.4.14.3.1.1.1.1.1","4d14c1a1a1","058","THOM","Wed 19 Dec 1979 02:07:59 GMT+00:00","10"
"1.4.4.14.4","4d14d","063","THOM","Wed 19 Dec 1979 02:08:09 GMT+00:00","5"
"1.4.4.15","4d15","067","THOM","Wed 19 Dec 1979 02:10:06 GMT+00:00","4"
"1.4.4.15.1","4d15a","069","THOM","Wed 19 Dec 1979 02:07:44 GMT+00:00","5"
"1.4.4.15.1.1","4d15a1","070","THOM","Wed 19 Dec 1979 02:07:46 GMT+00:00","6"
"1.4.4.15.1.1.1","4d15a1a","071","THOM","Wed 19 Dec 1979 02:07:47 GMT+00:00","7"
"1.4.4.15.1.2","4d15a2","072","THOM","Wed 19 Dec 1979 02:07:49 GMT+00:00","6"
"1.4.4.15.1.3","4d15a3","073","THOM","Wed 19 Dec 1979 02:07:50 GMT+00:00","6"
"1.4.4.15.1.3.1","4d15a3a","074","THOM","Wed 19 Dec 1979 02:07:52 GMT+00:00","7"
"1.4.4.15.1.3.1.1","4d15a3a1","075","THOM","Wed 19 Dec 1979 02:07:54 GMT+00:00","8"
"1.4.4.15.1.4","4d15a4","076","THOM","Wed 19 Dec 1979 02:07:55 GMT+00:00","6"
"1.4.4.15.2","4d15b","077","THOM","Wed 19 Dec 1979 02:07:57 GMT+00:00","5"
"1.4.4.15.2.1","4d15b1","078","THOM","Wed 19 Dec 1979 02:07:58 GMT+00:00","6"
"1.4.4.15.2.2","4d15b2","079","THOM","Wed 19 Dec 1979 02:07:59 GMT+00:00","6"
"1.4.4.15.2.3","4d15b3","080","THOM","Wed 19 Dec 1979 02:08:03 GMT+00:00","6"
"1.4.4.15.2.3.1","4d15b3a","081","THOM","Wed 19 Dec 1979 02:08:04 GMT+00:00","7"
"1.4.4.15.2.3.1.1","4d15b3a1","082","THOM","Wed 19 Dec 1979 02:08:07 GMT+00:00","8"
"1.4.4.15.2.3.1.2","4d15b3a2","083","THOM","Wed 19 Dec 1979 02:08:09 GMT+00:00","8"
"1.4.4.15.2.4","4d15b4","084","THOM","Wed 19 Dec 1979 02:08:09 GMT+00:00","6"
"1.4.4.15.3","4d15c","085","THOM","Wed 19 Dec 1979 02:08:12 GMT+00:00","5"
"1.4.4.16","4d16","086","ROSE","Sat 10 Jan 1981 00:34:00 GMT+00:00","4"
"1.4.4.17","4d17","096","THOM","Wed 19 Dec 1979 02:14:29 GMT+00:00","4"
"1.4.4.18","4d18","097","THOM","Wed 19 Dec 1979 02:16:06 GMT+00:00","4"
"1.4.5","4e","0141","ROSE","Sat 10 Jan 1981 00:34:10 GMT+00:00","3"
"1.4.5.1","4e1","0142","ROSE","Sat 10 Jan 1981 00:34:08 GMT+00:00","4"
"1.4.5.2","4e2","0143","ROSE","Mon 12 Jan 1981 07:40:58 GMT+00:00","4"
"1.4.5.2.1","4e2a","0148","THOM","Thu 20 Dec 1979 02:05:35 GMT+00:00","5"
