"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated","level"
"1","","","","","1"
"1.1","1","0178","EKM","Thu 20 Oct 1983 06:37:07 GMT+00:00","2"
"1.2","2","068","EKM","Thu 20 Oct 1983 05:00:58 GMT+00:00","2"
"1.2.1","2a","075","DCE","Thu 20 Oct 1983 00:32:10 GMT+00:00","3"
"1.2.2","2b","092","DCE","Wed 19 Oct 1983 07:26:26 GMT+00:00","3"
"1.2.3","2c","076","DCE","Wed 19 Oct 1983 07:26:02 GMT+00:00","3"
"1.2.4","2d","0166","DCE","Thu 20 Oct 1983 00:32:15 GMT+00:00","3"
"1.2.4.1","2d1","0167","DCE","Wed 19 Oct 1983 07:27:13 GMT+00:00","4"
"1.2.4.2","2d2","0168","DCE","Wed 19 Oct 1983 07:27:13 GMT+00:00","4"
"1.2.4.3","2d3","0169","DCE","Wed 19 Oct 1983 07:27:13 GMT+00:00","4"
"1.2.4.4","2d4","0170","DCE","Wed 19 Oct 1983 07:27:13 GMT+00:00","4"
"1.2.4.5","2d5","0171","DCE","Wed 19 Oct 1983 07:27:13 GMT+00:00","4"
"1.2.4.6","2d6","0172","DCE","Thu 20 Oct 1983 01:52:08 GMT+00:00","4"
"1.2.4.7","2d7","0173","DCE","Wed 19 Oct 1983 07:27:13 GMT+00:00","4"
"1.2.4.8","2d8","0174","DCE","Wed 19 Oct 1983 07:27:13 GMT+00:00","4"
"1.2.5","2e","0175","EKM","Thu 20 Oct 1983 06:46:45 GMT+00:00","3"
"1.2.6","2f","0176","DCE","Wed 19 Oct 1983 07:27:34 GMT+00:00","3"
"1.2.7","2g","077","DCE","Wed 19 Oct 1983 01:32:45 GMT+00:00","3"
"1.3","3","078","EKM","Thu 20 Oct 1983 05:00:59 GMT+00:00","2"
"1.3.1","3a","079","DCE","Thu 20 Oct 1983 01:53:31 GMT+00:00","3"
"1.3.2","3b","080","DCE","Wed 19 Oct 1983 01:34:56 GMT+00:00","3"
"1.3.3","3c","081","DCE","Wed 19 Oct 1983 07:29:13 GMT+00:00","3"
"1.4","4","073","EKM","Thu 20 Oct 1983 05:00:59 GMT+00:00","2"
"1.4.1","4a","082","DCE","Tue 18 Oct 1983 07:08:24 GMT+00:00","3"
"1.4.2","4b","085","DCE","Wed 19 Oct 1983 01:36:29 GMT+00:00","3"
"1.4.3","4c","096","DCE","Wed 19 Oct 1983 01:43:16 GMT+00:00","3"
"1.4.4","4d","0158","DCE","Thu 20 Oct 1983 00:32:19 GMT+00:00","3"
"1.4.5","4e","0101","DCE","Wed 19 Oct 1983 07:32:03 GMT+00:00","3"
"1.4.6","4f","0155","DCE","Wed 19 Oct 1983 07:32:26 GMT+00:00","3"
"1.4.7","4g","087","DCE","Wed 19 Oct 1983 07:33:12 GMT+00:00","3"
"1.4.8","4h","0157","DCE","Wed 19 Oct 1983 07:33:36 GMT+00:00","3"
"1.5","5","069","EKM","Thu 20 Oct 1983 06:56:01 GMT+00:00","2"
"1.5.1","5a","0104","DCE","Wed 19 Oct 1983 07:41:19 GMT+00:00","3"
"1.5.2","5b","0105","DCE","Thu 20 Oct 1983 01:54:43 GMT+00:00","3"
"1.5.3","5c","0106","DCE","Wed 19 Oct 1983 01:43:58 GMT+00:00","3"
"1.5.4","5d","0107","DCE","Wed 19 Oct 1983 07:41:35 GMT+00:00","3"
"1.5.5","5e","0114","DCE","Wed 19 Oct 1983 07:42:03 GMT+00:00","3"
"1.5.6","5f","0108","DCE","Thu 20 Oct 1983 00:32:32 GMT+00:00","3"
"1.5.7","5g","0109","DCE","Thu 20 Oct 1983 01:54:54 GMT+00:00","3"
"1.5.8","5h","0110","DCE","Thu 20 Oct 1983 01:56:22 GMT+00:00","3"
"1.5.9","5i","0112","DCE","Wed 19 Oct 1983 07:45:32 GMT+00:00","3"
"1.5.10","5j","0113","DCE","Thu 20 Oct 1983 00:32:44 GMT+00:00","3"
"1.6","6","074","EKM","Thu 20 Oct 1983 05:00:59 GMT+00:00","2"
"1.6.1","6a","0120","DCE","Wed 19 Oct 1983 01:46:50 GMT+00:00","3"
"1.6.2","6b","0121","EKM","Thu 20 Oct 1983 06:37:22 GMT+00:00","3"
"1.6.3","6c","0119","DCE","Wed 19 Oct 1983 01:47:42 GMT+00:00","3"
"1.6.4","6d","0123","DCE","Thu 20 Oct 1983 00:25:36 GMT+00:00","3"
"1.6.5","6e","0117","DCE","Thu 20 Oct 1983 00:25:52 GMT+00:00","3"
"1.6.6","6f","0118","DCE","Wed 19 Oct 1983 00:24:15 GMT+00:00","3"
"1.6.7","6g","0124","DCE","Wed 19 Oct 1983 00:25:32 GMT+00:00","3"
"1.7","7","072","EKM","Thu 20 Oct 1983 05:00:59 GMT+00:00","2"
"1.7.1","7a","0135","DCE","Thu 20 Oct 1983 00:27:19 GMT+00:00","3"
"1.7.2","7b","0136","DCE","Thu 20 Oct 1983 00:28:43 GMT+00:00","3"
"1.7.3","7c","0132","DCE","Wed 19 Oct 1983 00:30:50 GMT+00:00","3"
"1.7.4","7d","0137","DCE","Wed 19 Oct 1983 00:35:26 GMT+00:00","3"
"1.7.5","7e","0138","DCE","Thu 20 Oct 1983 00:28:53 GMT+00:00","3"
"1.8","8","071","EKM","Thu 20 Oct 1983 05:00:59 GMT+00:00","2"
"1.8.1","8a","0125","DCE","Wed 19 Oct 1983 01:48:40 GMT+00:00","3"
"1.8.2","8b","0139","DCE","Wed 19 Oct 1983 01:49:06 GMT+00:00","3"
