"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated","level"
"1.2.3.5.3.4.8","2c5c4h","0138","","","7"
"1.2.3.5.3.4.9","2c5c4i","0139","","","7"
"1.2.3.5.3.4.10","2c5c4j","0140","","","7"
"1.2.3.5.3.5","2c5c5","0141","","","6"
"1.2.3.5.3.5.1","2c5c5a","0142","","","7"
"1.2.3.5.3.5.2","2c5c5b","0143","","","7"
"1.2.3.5.3.5.3","2c5c5c","0144","","","7"
"1.2.3.5.3.6","2c5c6","0145","","","6"
"1.2.3.5.3.6.1","2c5c6a","0146","","","7"
"1.2.3.5.3.7","2c5c7","0147","","","6"
"1.2.3.5.3.7.1","2c5c7a","0148","","","7"
"1.2.3.5.3.7.2","2c5c7b","0149","","","7"
"1.2.3.5.3.7.3","2c5c7c","0150","","","7"
"1.2.3.5.3.7.4","2c5c7d","0151","","","7"
"1.2.3.5.4","2c5d","0152","","","5"
"1.2.3.5.4.1","2c5d1","0153","","","6"
"1.2.3.5.4.2","2c5d2","0154","","","6"
"1.2.3.5.4.3","2c5d3","0155","","","6"
"1.2.3.5.4.4","2c5d4","0156","","","6"
"1.2.3.5.4.5","2c5d5","0157","","","6"
"1.2.3.5.4.6","2c5d6","0158","","","6"
"1.2.3.5.4.7","2c5d7","0159","","","6"
"1.2.3.5.5","2c5e","0160","","","5"
"1.2.3.5.5.1","2c5e1","0161","","","6"
"1.2.3.5.5.2","2c5e2","0162","","","6"
"1.2.3.5.5.3","2c5e3","0163","","","6"
"1.2.3.5.5.4","2c5e4","0164","","","6"
"1.2.3.5.5.5","2c5e5","0165","","","6"
"1.2.3.5.5.6","2c5e6","0166","","","6"
"1.2.3.5.6","2c5f","0167","","","5"
"1.2.3.5.6.1","2c5f1","0168","","","6"
"1.2.3.5.6.2","2c5f2","0169","","","6"
"1.2.3.5.6.3","2c5f3","0170","","","6"
"1.2.3.5.6.4","2c5f4","0171","","","6"
"1.2.3.5.6.5","2c5f5","0172","","","6"
"1.2.3.5.7","2c5g","0173","","","5"
"1.2.3.5.7.1","2c5g1","0174","","","6"
"1.2.3.5.7.2","2c5g2","0175","","","6"
"1.2.3.5.7.3","2c5g3","0176","","","6"
"1.2.3.5.7.4","2c5g4","0177","","","6"
"1.2.3.5.7.5","2c5g5","0178","","","6"
"1.3","3","0179","","","2"
"1.3.1","3a","0180","","","3"
