"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated"
"1.1","1","038","MAC","Tue 16 Jul 1996 07:46:46 GMT+00:00"
"1.2","2","039","MAC","Tue 16 Jul 1996 07:46:46 GMT+00:00"
"1.3","3","040","MAC","Tue 16 Jul 1996 07:46:46 GMT+00:00"
"1.4","4","041","MAC","Tue 16 Jul 1996 07:46:46 GMT+00:00"
"1.5","5","042","MAC","Tue 16 Jul 1996 07:46:46 GMT+00:00"
"1.6","6","043","MAC","Tue 16 Jul 1996 07:46:46 GMT+00:00"
"1.7","7","044","MAC","Tue 16 Jul 1996 07:46:46 GMT+00:00"
"1.8","8","045","MAC","Tue 16 Jul 1996 07:46:46 GMT+00:00"
"1.9","9","046","CE","Thu 18 Jul 1996 05:58:58 GMT+00:00"
"1.10","10","047","MAC","Tue 16 Jul 1996 07:46:46 GMT+00:00"
"1.11","11","048","CE","Thu 18 Jul 1996 05:59:05 GMT+00:00"
"1.12","12","049","MAC","Tue 16 Jul 1996 07:46:46 GMT+00:00"
"1.13","13","050","MAC","Tue 16 Jul 1996 07:46:46 GMT+00:00"
"1.14","14","051","MAC","Tue 16 Jul 1996 07:46:46 GMT+00:00"
"1.14.1","14a","052","MAC","Tue 16 Jul 1996 07:46:46 GMT+00:00"
"1.15","15","053","MAC","Tue 16 Jul 1996 07:46:46 GMT+00:00"
"1.16","16","054","MAC","Tue 16 Jul 1996 07:46:46 GMT+00:00"
"1.17","17","055","MAC","Tue 16 Jul 1996 07:46:46 GMT+00:00"
"1.18","18","056","MAC","Tue 16 Jul 1996 07:46:46 GMT+00:00"
"1.19","19","057","MAC","Tue 16 Jul 1996 07:46:46 GMT+00:00"
"1.20","20","058","MAC","Tue 16 Jul 1996 07:46:46 GMT+00:00"
"1.21","21","059","MAC","Tue 16 Jul 1996 07:46:46 GMT+00:00"
"1.22","22","060","MAC","Tue 16 Jul 1996 07:46:46 GMT+00:00"
"1.23","23","061","MAC","Tue 16 Jul 1996 07:46:46 GMT+00:00"
"1.24","24","062","MAC","Tue 16 Jul 1996 07:46:46 GMT+00:00"
"1.25","25","063","MAC","Tue 16 Jul 1996 07:46:46 GMT+00:00"
"1.26","26","064","MAC","Tue 16 Jul 1996 07:46:47 GMT+00:00"
"1.27","27","065","MAC","Tue 16 Jul 1996 07:46:47 GMT+00:00"
"1.28","28","066","MAC","Tue 16 Jul 1996 07:46:47 GMT+00:00"
"1.29","29","067","MAC","Tue 16 Jul 1996 07:46:47 GMT+00:00"
"1.30","30","068","MAC","Tue 16 Jul 1996 07:46:47 GMT+00:00"
"1.31","31","069","MAC","Tue 16 Jul 1996 07:46:47 GMT+00:00"
"1.32","32","070","MAC","Tue 16 Jul 1996 07:46:47 GMT+00:00"
"1.33","33","071","MAC","Tue 16 Jul 1996 07:46:47 GMT+00:00"
"1.34","34","072","MAC","Tue 16 Jul 1996 07:46:47 GMT+00:00"
"1.35","35","073","MAC","Tue 16 Jul 1996 07:46:47 GMT+00:00"
"1.36","36","074","MAC","Tue 16 Jul 1996 07:46:47 GMT+00:00"
"1.37","37","075","MAC","Tue 16 Jul 1996 07:46:47 GMT+00:00"
"1.38","38","076","MAC","Tue 16 Jul 1996 07:46:47 GMT+00:00"
"1.39","39","077","MAC","Tue 16 Jul 1996 07:46:47 GMT+00:00"
"1.40","40","078","MAC","Tue 16 Jul 1996 07:46:47 GMT+00:00"
"1.41","41","079","MAC","Tue 16 Jul 1996 07:46:47 GMT+00:00"
"1.42","42","080","MAC","Tue 16 Jul 1996 07:46:47 GMT+00:00"
"1.43","43","081","MAC","Tue 16 Jul 1996 07:46:47 GMT+00:00"
"1.44","44","082","MAC","Tue 16 Jul 1996 07:46:47 GMT+00:00"
"1.45","45","083","MAC","Tue 16 Jul 1996 07:46:47 GMT+00:00"
"1.46","46","084","MAC","Tue 16 Jul 1996 07:46:47 GMT+00:00"
"1.47","47","085","MAC","Tue 16 Jul 1996 07:46:47 GMT+00:00"
"1.48","48","086","MAC","Tue 16 Jul 1996 07:46:47 GMT+00:00"
"1.49","49","087","MAC","Tue 16 Jul 1996 07:46:47 GMT+00:00"
"1.50","50","088","MAC","Tue 16 Jul 1996 07:46:47 GMT+00:00"
"1.51","51","089","MAC","Tue 16 Jul 1996 07:46:47 GMT+00:00"
"1.52","52","090","MAC","Tue 16 Jul 1996 07:46:47 GMT+00:00"
"1.53","53","091","MAC","Tue 16 Jul 1996 07:46:47 GMT+00:00"
"1.54","54","092","MAC","Tue 16 Jul 1996 07:46:47 GMT+00:00"
"1.55","55","093","MAC","Tue 16 Jul 1996 07:46:47 GMT+00:00"
