"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated"
"1","","","",""
"1.3.2.2.1.1.13","3b2a1m","0156","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.2.1.1.14","3b2a1n","0157","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.2.1.1.15","3b2a1o","0158","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.2.1.1.16","3b2a1p","0159","","Wed 17 May 2006 07:34:01 GMT+00:00"
"1.3.2.2.1.1.17","3b2a1q","0162","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.2.1.1.18","3b2a1r","0160","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.2.1.1.19","3b2a1s","0161","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.2.2","3b2b","031","","Thu 11 May 2006 00:07:58 GMT+00:00"
"1.3.2.2.2.1","3b2b1","096","","Tue 9 May 2006 06:56:30 GMT+00:00"
"1.3.2.2.2.1.1","3b2b1a","0165","","Tue 9 May 2006 07:12:26 GMT+00:00"
"1.3.2.2.2.1.2","3b2b1b","0166","","Tue 9 May 2006 07:12:29 GMT+00:00"
"1.3.2.2.2.1.3","3b2b1c","0167","","Tue 9 May 2006 07:12:30 GMT+00:00"
"1.3.2.2.2.1.4","3b2b1d","0168","","Tue 9 May 2006 07:12:30 GMT+00:00"
"1.3.2.3","3b3","0619","","Mon 15 May 2006 06:19:58 GMT+00:00"
"1.3.2.3.1","3b3a","034","","Thu 11 May 2006 00:02:06 GMT+00:00"
"1.3.2.3.1.1","3b3a1","099","","Thu 11 May 2006 00:02:13 GMT+00:00"
"1.3.2.3.1.1.1","3b3a1a","0190","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.1.1.2","3b3a1b","0191","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.1.1.3","3b3a1c","0192","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.1.1.4","3b3a1d","0193","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.1.1.5","3b3a1e","0206","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.1.1.6","3b3a1f","0195","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.1.1.7","3b3a1g","0194","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.1.1.8","3b3a1h","0196","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.1.1.9","3b3a1i","0197","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.1.1.10","3b3a1j","0198","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.1.1.11","3b3a1k","0199","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.1.1.12","3b3a1l","0201","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.1.1.13","3b3a1m","0202","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.1.1.14","3b3a1n","0203","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.1.1.15","3b3a1o","0204","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.1.1.16","3b3a1p","0205","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.1.1.17","3b3a1q","0200","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.1.1.18","3b3a1r","0207","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.2","3b3b","032","","Thu 11 May 2006 00:02:13 GMT+00:00"
"1.3.2.3.2.1","3b3b1","097","","Tue 9 May 2006 06:56:37 GMT+00:00"
"1.3.2.3.2.1.1","3b3b1a","0696","","Thu 18 May 2006 07:29:05 GMT+00:00"
"1.3.2.3.2.1.1.1","3b3b1a1","0697","","Thu 18 May 2006 07:29:12 GMT+00:00"
"1.3.2.3.2.1.2","3b3b1b","0169","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.2.1.2.1","3b3b1b1","0170","","Fri 19 May 2006 07:47:34 GMT+00:00"
"1.3.2.3.2.1.3","3b3b1c","0171","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.2.1.4","3b3b1d","0172","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.2.1.5","3b3b1e","0174","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.2.1.6","3b3b1f","0180","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.2.1.7","3b3b1g","0184","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.2.1.8","3b3b1h","0186","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.2.1.9","3b3b1i","0173","","Thu 11 May 2006 00:07:44 GMT+00:00"
"1.3.2.3.2.1.10","3b3b1j","0181","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.2.1.11","3b3b1k","0175","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.2.1.12","3b3b1l","0176","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.2.1.13","3b3b1m","0177","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.2.1.14","3b3b1n","0178","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.2.1.15","3b3b1o","0179","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.2.1.16","3b3b1p","0182","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.2.1.17","3b3b1q","0183","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.2.1.18","3b3b1r","0185","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.3","3b3c","035","","Thu 11 May 2006 00:02:06 GMT+00:00"
"1.3.2.3.3.1","3b3c1","0100","","Thu 11 May 2006 00:02:06 GMT+00:00"
"1.3.2.3.3.1.1","3b3c1a","0208","","Thu 11 May 2006 00:10:24 GMT+00:00"
