"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated","level"
"1.5.1.1","5a1","03","DCE","Mon 23 Oct 2000 03:40:32 GMT+00:00","4"
"1.5.1.2","5a2","04","DCE","Mon 23 Oct 2000 03:40:32 GMT+00:00","4"
"1.5.1.3","5a3","05","DCE","Mon 23 Oct 2000 03:40:32 GMT+00:00","4"
"1.5.1.4","5a4","06","DCE","Mon 23 Oct 2000 03:40:32 GMT+00:00","4"
"1.5.1.5","5a5","07","DCE","Mon 23 Oct 2000 03:40:32 GMT+00:00","4"
"1.5.1.6","5a6","08","DCE","Mon 23 Oct 2000 03:40:32 GMT+00:00","4"
"1.5.1.7","5a7","09","DCE","Mon 23 Oct 2000 03:40:32 GMT+00:00","4"
"1.5.1.8","5a8","010","DCE","Mon 23 Oct 2000 03:37:13 GMT+00:00","4"
"1.5.1.8.1","5a8a","011","DCE","Mon 23 Oct 2000 03:38:55 GMT+00:00","5"
"1.5.1.8.2","5a8b","012","DCE","Mon 23 Oct 2000 03:39:16 GMT+00:00","5"
"1.5.1.9","5a9","013","DCE","Mon 23 Oct 2000 03:39:33 GMT+00:00","4"
"1.5.1.10","5a10","078","DCE","Tue 24 Oct 2000 06:29:58 GMT+00:00","4"
"1.5.1.11","5a11","076","DCE","Mon 23 Oct 2000 03:39:33 GMT+00:00","4"
