"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated","Match_Count","Line Number","Text"
"1","","","","","18","",""
"1","","","","","","1","<OAD,2221,>  25-Oct-83 12:07-PDT DCE.TYM ;;;;"
"1","","","","","","2",".Hjournal=&quot;DCE.TYM  25-Oct-83 12:07-PDT OAD,2221,&quot;;"
"1","","","","","","3",".Pn=0;.Pes; JOAC84 -- Paper submitted for OAC'84 on 24 Oct"
"1","","","","","","4","83<:xzh>>><a href=&quot;#OFFICE-4, ENGELBART,"
"1","","","","","","5","JOAC84.AUG;2,&quot;>&lt;OFFICE-4, ENGELBART,"
"1","","","","","","6","JOAC84.AUG;2,&gt;</a>, 25-Oct-83 12:05-PDT DCE ;;;;"
"1","","","","","","7","[*Typesetting done by EKM *]  .Lm=11,0.0; .Rm=74,6.5;"
"1","","","","","","8",".Lmbase=0,0.0; .Tm=6,0.5; .Bm=57,9.5; .Ypf=2,0.35; .Yfh=3,0.5;"
"1","","","","","","9",".Ilev=Off;  .Pntype=2001; .Fp=Oddr; .H=&quot; &quot;;"
"1","","","","","","10",".Defaultfont=10p,Futura,Medium; .H1font=10p,Futura,Bold;"
"1","","","","","","11",".Ffont=10p,Futura,Bold; .Pxfontshow=1;"
"1","","","","","","12",".Pxfont[1]=12p,Futura,Bold; .V1font=10p,15,Bold;"
"1","","","","","","13",".V2font=10p,Futura,Slanted; .V3font=10p,Futura,Smallcaps;"
"1","","","","","","14",".V4font=10p,Futura,Bold; .V5font=10p,15,Medium;"
"1","","","","","","15",".Defsyn[Underline]=U; .Code['^]=40B; .Bp=J; .Pxpshow=1;.Pxp=C;"
"1","","","","","","16",".Ybs=1; .Pxfshow=[1,2]; .Pxfyd=0; .Pxfyd[1]=0; .Pxfyu=0;"
"1","","","","","","17",".Pxfyu[2]=0; .Pxfys=0; .Pn=0; .Grab=6,72P;.HSw=OFF; .FSw=OFF;"
"1","","","","","","18",".Pes;.GYES=,0.2;"
"1.1","1","0178","EKM","Thu 20 Oct 1983 06:37:07 GMT+00:00","2","",""
"1.1","","","","","","1","COLLABORATION SUPPORT PROVISIONS IN AUGMENTDouglas C."
"1.1","","","","","","2","EngelbartTymshare, Inc., Cupertino, Ca.(OAD,2221,)"
"1.2","2","068","EKM","Thu 20 Oct 1983 05:00:58 GMT+00:00","1","",""
"1.2","","","","","","1","INTRODUCTION"
"1.2.1","2a","075","DCE","Thu 20 Oct 1983 00:32:10 GMT+00:00","8","",""
"1.2.1","","","","","","1","AUGMENT is an integrated system of knowledge-worker tools that"
"1.2.1","","","","","","2","originated at SRI International over an extended period under"
"1.2.1","","","","","","3","the sponsorship of NASA, DARPA and RADC.  (The system was then"
