"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated","Match_Count","Line Number","Text"
"1.2.1","","","","","","4","named &quot;NLS.&quot;)  Commercial rights were transferred to"
"1.2.1","","","","","","5","Tymshare in 1978, where it has since been enhanced and marketed"
"1.2.1","","","","","","6","as an integrated Office Automation system.  A short history of"
"1.2.1","","","","","","7","AUGMENT's development may be found in [Ref-1], along with a"
"1.2.1","","","","","","8","summary of system characteristics and features."
"1.2.2","2b","092","DCE","Wed 19 Oct 1983 07:26:26 GMT+00:00","6","",""
"1.2.2","","","","","","1","The system evolved on time-shared, mainframe computers, and in a"
"1.2.2","","","","","","2","packet-switched network environment.  In 1970 our computer was"
"1.2.2","","","","","","3","the second to be attached to the ARPANET, and since 1978 we have"
"1.2.2","","","","","","4","also operated extensively in the TYMNET environment.  Special"
"1.2.2","","","","","","5","attributes of each the timesharing and the network environments"
"1.2.2","","","","","","6","contribute uniquely to the support of collaboration."
"1.2.3","2c","076","DCE","Wed 19 Oct 1983 07:26:02 GMT+00:00","9","",""
"1.2.3","","","","","","1","The architecture and general character of AUGMENT were directly"
"1.2.3","","","","","","2","oriented toward augmenting the capability of humans to deal with"
"1.2.3","","","","","","3","tough knowledge work and to process effectively the large"
"1.2.3","","","","","","4","volumes of information that burden the modern office.  An"
"1.2.3","","","","","","5","explicit sub-goal was to support close, active collaboration"
"1.2.3","","","","","","6","among groups of workers.  In this spirit, we volunteered to"
"1.2.3","","","","","","7","develop and operate the Network Information Center (NIC) for the"
"1.2.3","","","","","","8","original ARPANET user and research community, aiming to learn"
"1.2.3","","","","","","9","about collaborative support by really doing it."
"1.2.4","2d","0166","DCE","Thu 20 Oct 1983 00:32:15 GMT+00:00","7","",""
"1.2.4","","","","","","1","Below are listed the primary community activities which we aimed"
"1.2.4","","","","","","2","to support in providing &quot;coordinated information services"
"1.2.4","","","","","","3","for a discipline- or mission-oriented community&quot; -- shown"
"1.2.4","","","","","","4","in the order recommended for evolutionary implementation.  The"
"1.2.4","","","","","","5","rationale for the selection and ordering of these particular"
"1.2.4","","","","","","6","activities, and the approach for providing computerized support"
"1.2.4","","","","","","7","for them, were described in [Ref-2]:"
"1.2.4.1","2d1","0167","DCE","Wed 19 Oct 1983 07:27:13 GMT+00:00","1","",""
"1.2.4.1","","","","","","1","A1:  Collaborative Dialog"
"1.2.4.2","2d2","0168","DCE","Wed 19 Oct 1983 07:27:13 GMT+00:00","1","",""
"1.2.4.2","","","","","","1","A2:  Document Development, Production, and Control"
"1.2.4.3","2d3","0169","DCE","Wed 19 Oct 1983 07:27:13 GMT+00:00","1","",""
"1.2.4.3","","","","","","1","A3:  Research Intelligence"
"1.2.4.4","2d4","0170","DCE","Wed 19 Oct 1983 07:27:13 GMT+00:00","1","",""
"1.2.4.4","","","","","","1","A4:  Community Handbook Development"
"1.2.4.5","2d5","0171","DCE","Wed 19 Oct 1983 07:27:13 GMT+00:00","1","",""
"1.2.4.5","","","","","","1","A5:  Computer-Based Instruction"
"1.2.4.6","2d6","0172","DCE","Thu 20 Oct 1983 01:52:08 GMT+00:00","1","",""
"1.2.4.6","","","","","","1","A6:  Meetings and Conferences"
"1.2.4.7","2d7","0173","DCE","Wed 19 Oct 1983 07:27:13 GMT+00:00","1","",""
"1.2.4.7","","","","","","1","A7:  Community Management and Organization"
"1.2.4.8","2d8","0174","DCE","Wed 19 Oct 1983 07:27:13 GMT+00:00","1","",""
"1.2.4.8","","","","","","1","A8:  Special Knowledge Work by Individuals and Teams"
"1.2.5","2e","0175","EKM","Thu 20 Oct 1983 06:46:45 GMT+00:00","8","",""
"1.2.5","","","","","","1",".PBS;The range of services conceived for this purpose had a"
"1.2.5","","","","","","2","major effect upon the system architecture and user features."
"1.2.5","","","","","","3","However, the ARPANET user community grew much faster than was"
"1.2.5","","","","","","4","planned for, so this range had to be trimmed considerably and"
"1.2.5","","","","","","5","much less exploratory support development was carried out than"
"1.2.5","","","","","","6","was planned for.  As a consequence, it was only for the first"
"1.2.5","","","","","","7","two of these activities that enough resources were available for"
"1.2.5","","","","","","8","developing significant computerized support."
"1.2.6","2f","0176","DCE","Wed 19 Oct 1983 07:27:34 GMT+00:00","3","",""
"1.2.6","","","","","","1","[Note: The NIC remained at SRI when the rest of the Augmentation"
"1.2.6","","","","","","2","Research Center left, and is healthily serving a very sizeable"
"1.2.6","","","","","","3","community.]"
"1.2.7","2g","077","DCE","Wed 19 Oct 1983 01:32:45 GMT+00:00","3","",""
"1.2.7","","","","","","1","This paper summarizes some of the principles, concepts and"
"1.2.7","","","","","","2","special provisions embodied in AUGMENT that most directly"
"1.2.7","","","","","","3","provide this collaborative support."
"1.3","3","078","EKM","Thu 20 Oct 1983 05:00:59 GMT+00:00","1","",""
"1.3","","","","","","1","SOME GENERAL PRINCIPLES"
"1.3.1","3a","079","DCE","Thu 20 Oct 1983 01:53:31 GMT+00:00","9","",""
"1.3.1","","","","","","1","When considering an array of candidate provisions for augmenting"
"1.3.1","","","","","","2","a knowledge worker's capability for doing his individual work,"
"1.3.1","","","","","","3","the question of skill level must be faced.  In working toward"
"1.3.1","","","","","","4","enhanced human capability, there seems to be no substitute for"
"1.3.1","","","","","","5","the workers' skill in the utilization of their tools.  That is,"
"1.3.1","","","","","","6","assuming the best efforts of equally competent tool-system"
"1.3.1","","","","","","7","developers, the system designed to support the more-skilled"
"1.3.1","","","","","","8","workers will always provide higher human performance than the"
"1.3.1","","","","","","9","one designed to support the less-skilled workers."
"1.3.2","3b","080","DCE","Wed 19 Oct 1983 01:34:56 GMT+00:00","9","",""
"1.3.2","","","","","","1","This principle holds true in the domain of computer-augmented"
"1.3.2","","","","","","2","collaboration also.  The joint effectiveness of the"
"1.3.2","","","","","","3","collaborative group will benefit from the skills of all of the"
"1.3.2","","","","","","4","participants.  And here there is a double level of skills"
"1.3.2","","","","","","5","involved: (1) skills of each person in employing computer"
"1.3.2","","","","","","6","support for doing individualized work; and (2) skills of each"
"1.3.2","","","","","","7","person at employing computer support for collaboration.  The"
"1.3.2","","","","","","8","higher the group's skills at both levels, the more effective the"
"1.3.2","","","","","","9","group will be."
"1.3.3","3c","081","DCE","Wed 19 Oct 1983 07:29:13 GMT+00:00","4","",""
"1.3.3","","","","","","1","Some collaborative provisions may be employed by skilled users"
"1.3.3","","","","","","2","to support their collaboration with unskilled users -- and in"
"1.3.3","","","","","","3","some cases, skilled users may support collaboration between"
"1.3.3","","","","","","4","other, totally unskilled people."
"1.4","4","073","EKM","Thu 20 Oct 1983 05:00:59 GMT+00:00","1","",""
"1.4","","","","","","1","AUGMENT TELEVIEWING"
"1.4.1","4a","082","DCE","Tue 18 Oct 1983 07:08:24 GMT+00:00","5","",""
"1.4.1","","","","","","1","The remote televiewing provision in AUGMENT is an example of the"
"1.4.1","","","","","","2","latter provision, where skilled users can collaborate with"
"1.4.1","","","","","","3","lesser-skilled people, and indeed, can support collaboration"
"1.4.1","","","","","","4","between those who are totally unskilled in using the system's"
"1.4.1","","","","","","5","tools."
"1.4.2","4b","085","DCE","Wed 19 Oct 1983 01:36:29 GMT+00:00","5","",""
"1.4.2","","","","","","1","In this mode of teleconferencing, between two or more people"
"1.4.2","","","","","","2","positioned at separated display terminals, the screen image that"
"1.4.2","","","","","","3","is being produced for one of them by whatever computer tool(s)"
"1.4.2","","","","","","4","he is currently employing can also be simultaneously displayed"
"1.4.2","","","","","","5","on each of the other terminals."
"1.4.3","4c","096","DCE","Wed 19 Oct 1983 01:43:16 GMT+00:00","10","",""
"1.4.3","","","","","","1","This televiewing state is set up and controlled by executing"
"1.4.3","","","","","","2","commands in a special AUGMENT &quot;Conference&quot; subsystem."
"1.4.3","","","","","","3","The Conference subsystem permits a user to call an on-line"
"1.4.3","","","","","","4","conference of two or more people, view and edit files, add and"
"1.4.3","","","","","","5","remove conferees, pass the gavel, and transparently connect to"
"1.4.3","","","","","","6","other tool-bearing machines via TYMNET or ARPANET.  Televiewing"
"1.4.3","","","","","","7","is usually done in conjunction with a telephone connection, and"
"1.4.3","","","","","","8","is often used to support document review and revision in a"
"1.4.3","","","","","","9","synchronous mode, where all conferees can see and discuss"
"1.4.3","","","","","","10","changes as they are made."
"1.4.4","4d","0158","DCE","Thu 20 Oct 1983 00:32:19 GMT+00:00","10","",""
"1.4.4","","","","","","1","This &quot;Conference&quot; subsystem, as with any"
"1.4.4","","","","","","2","&quot;tool&quot; in the AUGMENT &quot;workshop,&quot; will be"
"1.4.4","","","","","","3","accessed through the AUGMENT User Interface System (UIS)"
"1.4.4","","","","","","4","software module.  The UIS modules serving the respective"
"1.4.4","","","","","","5","televiewing participants may be running in the same computer, or"
"1.4.4","","","","","","6","in different computers that are inter-connected by a network."
"1.4.4","","","","","","7","(The relevant architecture which supports this AUGMENT"
"1.4.4","","","","","","8","televiewing capability is outlined in [Ref-3], along with a"
"1.4.4","","","","","","9","description of the major functions served by the User Interface"
"1.4.4","","","","","","10","System.)"
"1.4.5","4e","0101","DCE","Wed 19 Oct 1983 07:32:03 GMT+00:00","7","",""
"1.4.5","","","","","","1","One function of the UIS module is to support a variety of"
"1.4.5","","","","","","2","terminals for AUGMENT use.  The UIS transforms the display views"
"1.4.5","","","","","","3","constructed by the tools into a form that works for the"
"1.4.5","","","","","","4","particular type of terminal equipment employed by each user."
"1.4.5","","","","","","5","Therefore, there may be a variety of display terminals used by"
"1.4.5","","","","","","6","the different televiewing participants as they watch the common,"
"1.4.5","","","","","","7","&quot;shared view.&quot;"
"1.4.6","4f","0155","DCE","Wed 19 Oct 1983 07:32:26 GMT+00:00","2","",""
"1.4.6","","","","","","1","Control of the tool(s) that create and manipulate this shared"
"1.4.6","","","","","","2","view can be passed from one participant to another."
"1.4.7","4g","087","DCE","Wed 19 Oct 1983 07:33:12 GMT+00:00","11","",""
"1.4.7","","","","","","1","When simultaneously talking on the telephone, the resulting"
"1.4.7","","","","","","2","dialog becomes analogous to working around a shared blackboard,"
"1.4.7","","","","","","3","upon which individual, group, and public information can be"
"1.4.7","","","","","","4","manipulated with chalk and eraser that can be passed around"
"1.4.7","","","","","","5","among the participants.  Among skilled participants, each is"
"1.4.7","","","","","","6","easily able to pull forth and share materials from his private"
"1.4.7","","","","","","7","notes or familiar reference sources and copy across into his"
"1.4.7","","","","","","8","private workplace any material offered from what the other"
"1.4.7","","","","","","9","participants may bring forth.  He can demonstrate his own"
"1.4.7","","","","","","10","methods, conventions, and special skills, or demonstrate the"
"1.4.7","","","","","","11","circumstances where he has trouble and would like advice."
"1.4.8","4h","0157","DCE","Wed 19 Oct 1983 07:33:36 GMT+00:00","5","",""
"1.4.8","","","","","","1","Typical session goals include coaching, reviewing, mutual"
"1.4.8","","","","","","2","problem solving, demonstrating, etc.  The more comprehensive and"
"1.4.8","","","","","","3","efficient the collective tools and skills are for doing a single"
"1.4.8","","","","","","4","individual's kind of work, the more effective these"
"1.4.8","","","","","","5","collaborative sessions can be."
"1.5","5","069","EKM","Thu 20 Oct 1983 06:56:01 GMT+00:00","1","",""
"1.5","","","","","","1","BASIC SUPPORT PROVISIONS:IN-FILE ADDRESSING AND EMBEDDED LINKS"
"1.5.1","5a","0104","DCE","Wed 19 Oct 1983 07:41:19 GMT+00:00","9","",""
"1.5.1","","","","","","1","There are a number of unique characteristics in the structure of"
"1.5.1","","","","","","2","AUGMENT files, and in the associated provisions for manipulation"
"1.5.1","","","","","","3","and viewing.  Generally, their purpose is to increase the"
"1.5.1","","","","","","4","facility with which files can be studied and manipulated, and to"
"1.5.1","","","","","","5","provide for mixed media (e.g. text, graphics, recorded speech)."
"1.5.1","","","","","","6","As mentioned above, increasing each individual collaborator's"
"1.5.1","","","","","","7","ability to study and manipulate working information will"
"1.5.1","","","","","","8","increase his ability to contribute in an augmented collaborative"
"1.5.1","","","","","","9","process."
"1.5.2","5b","0105","DCE","Thu 20 Oct 1983 01:54:43 GMT+00:00","4","",""
"1.5.2","","","","","","1","The provisions in AUGMENT for flexible and explicit in-file"
"1.5.2","","","","","","2","addressing provide collaborative benefit not only through their"
"1.5.2","","","","","","3","enhancement of individual's capabilities, but also by direct"
"1.5.2","","","","","","4","support of collaborative activities."
"1.5.3","5c","0106","DCE","Wed 19 Oct 1983 01:43:58 GMT+00:00","7","",""
"1.5.3","","","","","","1","Any given text entity in any AUGMENT file or document -- e.g."
"1.5.3","","","","","","2","chapter, section, paragraph, word or even an individual"
"1.5.3","","","","","","3","character -- can be addressed explicitly by a string of"
"1.5.3","","","","","","4","characters that every experienced AUGMENT user can construct or"
"1.5.3","","","","","","5","read.  These address strings may be optionally used in any"
"1.5.3","","","","","","6","AUGMENT command that designates an entity to be operated upon or"
"1.5.3","","","","","","7","a place in a document to do something about."
"1.5.4","5d","0107","DCE","Wed 19 Oct 1983 07:41:35 GMT+00:00","8","",""
"1.5.4","","","","","","1","Selecting that entity or place by pointing with a mouse is"
"1.5.4","","","","","","2","always an option (and almost always would be employed if that"
"1.5.4","","","","","","3","entity or place is visible on the screen).  But a user always"
"1.5.4","","","","","","4","has the option of using an address string to designate an entity"
"1.5.4","","","","","","5","or place that is not being shown.  That entity or place may be"
"1.5.4","","","","","","6","in in any on-line document to which that user has appropriate"
"1.5.4","","","","","","7","access rights (including documents belonging to other users or"
"1.5.4","","","","","","8","to a public pool)."
"1.5.5","5e","0114","DCE","Wed 19 Oct 1983 07:42:03 GMT+00:00","8","",""
"1.5.5","","","","","","1","As an aid for specifying useful locations within a document, a"
"1.5.5","","","","","","2","user may affix a unique &quot;name&quot; of his own choice to"
"1.5.5","","","","","","3","any statement.  When employed in an address string making it"
"1.5.5","","","","","","4","unambiguous which document is being cited, that name will serve"
"1.5.5","","","","","","5","to designate its named statement for any AUGMENT operation."
"1.5.5","","","","","","6","Name examples: &quot;Ref-1&quot; names the first reference item"
"1.5.5","","","","","","7","below; and &quot;A3&quot; names the third activity item listed"
"1.5.5","","","","","","8","above."
"1.5.6","5f","0108","DCE","Thu 20 Oct 1983 00:32:32 GMT+00:00","11","",""
"1.5.6","","","","","","1","If an address string is enclosed by parentheses or brackets, the"
"1.5.6","","","","","","2","whole is called a &quot;link.&quot;  Examples:"
"1.5.6","","","","","","3","&quot;[Ref-1]&quot; is a link pointing to that item in the"
"1.5.6","","","","","","4","Reference section below; &quot;(OAC84-Draft,3B)&quot; would"
"1.5.6","","","","","","5","point to Paragraph 3B in the document file named"
"1.5.6","","","","","","6","&quot;OAC84-Draft.&quot;  Links may be created and edited just"
"1.5.6","","","","","","7","as any other text, and may be embedded anywhere in the text of"
"1.5.6","","","","","","8","an AUGMENT document.  They are understood by a reader to be a"
"1.5.6","","","","","","9","citation that &quot;links&quot; this location to some other"
"1.5.6","","","","","","10","document entity or place.  It is useful to consider the address"
"1.5.6","","","","","","11","in a link as specifying a path leading to the cited object."
"1.5.7","5g","0109","DCE","Thu 20 Oct 1983 01:54:54 GMT+00:00","6","",""
"1.5.7","","","","","","1","A reader who wanted to take a look at the place or entity at the"
"1.5.7","","","","","","2","other end of a link could execute a &quot;Jump (to)"
"1.5.7","","","","","","3","Address&quot; command and type in the corresponding address"
"1.5.7","","","","","","4","string -- whereupon AUGMENT would then change the view in a"
"1.5.7","","","","","","5","designated display window to be positioned in the designated"
"1.5.7","","","","","","6","document at the designated location."
"1.5.8","5h","0110","DCE","Thu 20 Oct 1983 01:56:22 GMT+00:00","10","",""
"1.5.8","","","","","","1","Alternatively the reader could use a &quot;Jump (on) Link&quot;"
"1.5.8","","","","","","2","command, and merely: (a) point to the embedded link; then (b)"
"1.5.8","","","","","","3","point to the window in which he wanted the cited passage to be"
"1.5.8","","","","","","4","displayed.  AUGMENT would extract the destination address from"
"1.5.8","","","","","","5","the link (instead of expecting the user to type it) and display"
"1.5.8","","","","","","6","the referenced passage in the indicated window.  For instance,"
"1.5.8","","","","","","7","when reading the text of this OAC84 document on line, an AUGMENT"
"1.5.8","","","","","","8","user could do a Jump Link on one of the reference citations"
"1.5.8","","","","","","9","(which are bonafide links) and immediately be shown the"
"1.5.8","","","","","","10","associated citation statement."
"1.5.9","5i","0112","DCE","Wed 19 Oct 1983 07:45:32 GMT+00:00","9","",""
"1.5.9","","","","","","1","A very useful, &quot;indirect addressing&quot; provision may be"
"1.5.9","","","","","","2","employed in a link's address string.  This amounts to saying,"
"1.5.9","","","","","","3","&quot;when your path reaches Location X, scan along the text"
"1.5.9","","","","","","4","there until you find the next link, and then follow that second"
"1.5.9","","","","","","5","link to its destination.&quot;  This provision may be employed"
"1.5.9","","","","","","6","through an indefinite number of indirect links.  That is, this"
"1.5.9","","","","","","7","second link at Location X may in fact contain a similar"
"1.5.9","","","","","","8","indirect-address expression -- i.e. &quot;proceed to Location Y"
"1.5.9","","","","","","9","and follow the link you find there&quot; -- etc."
"1.5.10","5j","0113","DCE","Thu 20 Oct 1983 00:32:44 GMT+00:00","8","",""
"1.5.10","","","","","","1","Example: &quot;(Ref-1.l)&quot;.  To follow this link, the"
"1.5.10","","","","","","2","AUGMENT Jump Link command would find the statement in this"
"1.5.10","","","","","","3","document that has been named &quot;Ref-1&quot; (in the Reference"
"1.5.10","","","","","","4","Section below), scan along that statement's text to the first"
"1.5.10","","","","","","5","link, &quot;(AUGMENT,71279,)&quot;, and then follow that link."
"1.5.10","","","","","","6","The user would be shown the opening section of document 71279"
"1.5.10","","","","","","7","(from the AUGMENT Journal -- see below -- containing the"
"1.5.10","","","","","","8","complete text of the published document cited in [Ref-1])."
"1.6","6","074","EKM","Thu 20 Oct 1983 05:00:59 GMT+00:00","1","",""
"1.6","","","","","","1","SHARED FILES"
"1.6.1","6a","0120","DCE","Wed 19 Oct 1983 01:46:50 GMT+00:00","8","",""
"1.6.1","","","","","","1","In timesharing environments, users have grown accustomed to"
"1.6.1","","","","","","2","being able to share the use of files in the process of"
"1.6.1","","","","","","3","collaboration.  Users of stand-alone workstations and personal"
"1.6.1","","","","","","4","computers generally haven't benefitted from this.  The emerging"
"1.6.1","","","","","","5","wide-band interconnection options (e.g. local-area networks and"
"1.6.1","","","","","","6","public, packet networks) and the integration of file servers"
"1.6.1","","","","","","7","into on-line working environments will bring shared-file"
"1.6.1","","","","","","8","collaboration into much more prevalence."
"1.6.2","6b","0121","EKM","Thu 20 Oct 1983 06:37:22 GMT+00:00","7","",""
"1.6.2","","","","","","1",".PBS;AUGMENT's architecture and general design philosophy assume"
"1.6.2","","","","","","2","this kind of working environment.  Files containing the"
"1.6.2","","","","","","3","hierarchically stored information can be made available to any"
"1.6.2","","","","","","4","selected participants, utilizing a number of agreed-upon options"
"1.6.2","","","","","","5","for privacy and access.  Geographical distances separating"
"1.6.2","","","","","","6","collaborators become transparent with remote computer access"
"1.6.2","","","","","","7","through networks."
"1.6.3","6c","0119","DCE","Wed 19 Oct 1983 01:47:42 GMT+00:00","8","",""
"1.6.3","","","","","","1","By employing the above-described, embedded links, these files"
"1.6.3","","","","","","2","may be interlinked to create a shared network of information.  A"
"1.6.3","","","","","","3","jointly developed document for instance begins with the entry of"
"1.6.3","","","","","","4","the ideas and continues with the elaboration of the idea nodes"
"1.6.3","","","","","","5","into a narrative by each member of the collaborating team.  In"
"1.6.3","","","","","","6","the case of a single product by a team effort (a proposal,"
"1.6.3","","","","","","7","report, study, etc.), agreements must be made to control access"
"1.6.3","","","","","","8","to specific files."
"1.6.4","6d","0123","DCE","Thu 20 Oct 1983 00:25:36 GMT+00:00","6","",""
"1.6.4","","","","","","1","The effect on the document as each person adds to, manipulates,"
"1.6.4","","","","","","2","and studies the common information is equivalent to passing"
"1.6.4","","","","","","3","around a paper draft for comments.  But here the drafts are"
"1.6.4","","","","","","4","distributed very quickly and there is no retyping phase; the"
"1.6.4","","","","","","5","material can constantly reflect the latest modifications for all"
"1.6.4","","","","","","6","involved to see and use."
"1.6.5","6e","0117","DCE","Thu 20 Oct 1983 00:25:52 GMT+00:00","9","",""
"1.6.5","","","","","","1","Expanded, shared spaces require some retrieval support, which"
"1.6.5","","","","","","2","can take many forms.  For file sharing, the use of an on-line"
"1.6.5","","","","","","3","table of contents is generally pertinent.  The table of contents"
"1.6.5","","","","","","4","for public files (or private subsets) consists of lists of"
"1.6.5","","","","","","5","titles and names of files, abstract-like descriptions, with"
"1.6.5","","","","","","6","links to desired nodes in each file.  The table of contents (a"
"1.6.5","","","","","","7","&quot;locator&quot;) is hierarchically organized, permitting"
"1.6.5","","","","","","8","categorical relationships and viewing that facilitate searching"
"1.6.5","","","","","","9","the locator."
"1.6.6","6f","0118","DCE","Wed 19 Oct 1983 00:24:15 GMT+00:00","7","",""
"1.6.6","","","","","","1","Once any information is located (with one of many searching"
"1.6.6","","","","","","2","mechanisms), it is available for direct copying and integrating"
"1.6.6","","","","","","3","into any newly developing text.  If plagiarism is a concern,"
"1.6.6","","","","","","4","there are protective measures to restrict access -- but when"
"1.6.6","","","","","","5","collaboration is the intent, the free availability of"
"1.6.6","","","","","","6","information to facilitate cooperation and collaborative"
"1.6.6","","","","","","7","synergism can be much enhanced."
"1.6.7","6g","0124","DCE","Wed 19 Oct 1983 00:25:32 GMT+00:00","7","",""
"1.6.7","","","","","","1","AUGMENT automatically maintains an authorship-change record for"
"1.6.7","","","","","","2","each statement in each file, indicating the date, time, and"
"1.6.7","","","","","","3","author of the statement's creation or last change.  This"
"1.6.7","","","","","","4","supports coordination among shared-file collaborators -- there"
"1.6.7","","","","","","5","are special AUGMENT provisions for viewing these records, and"
"1.6.7","","","","","","6","for scanning for statements entered or changed in a given time"
"1.6.7","","","","","","7","span or by a given author."
"1.7","7","072","EKM","Thu 20 Oct 1983 05:00:59 GMT+00:00","1","",""
"1.7","","","","","","1","AUGMENT MAIL"
"1.7.1","7a","0135","DCE","Thu 20 Oct 1983 00:27:19 GMT+00:00","8","",""
"1.7.1","","","","","","1","As a component of our overall development activity, we have made"
"1.7.1","","","","","","2","heavy use of our own AUGMENT mail system since 1970, as well as"
"1.7.1","","","","","","3","interacting with many non-AUGMENT users through the ARPANET mail"
"1.7.1","","","","","","4","systems that have emerged since the early '70s.  Today, an"
"1.7.1","","","","","","5","AUGMENT user can interact with people on these other mail"
"1.7.1","","","","","","6","systems (as served by either ARPANET or TYMNET) in a uniform"
"1.7.1","","","","","","7","way, along with his AUGMENT mail interactions, from within his"
"1.7.1","","","","","","8","coherent AUGMENT environment."
"1.7.2","7b","0136","DCE","Thu 20 Oct 1983 00:28:43 GMT+00:00","7","",""
"1.7.2","","","","","","1","After thirteen years of hard-use evolution, the general features"
"1.7.2","","","","","","2","and provisions within AUGMENT Mail are probably as complete and"
"1.7.2","","","","","","3","sophisticated as any.  The system provides speed and flexibility"
"1.7.2","","","","","","4","for all message-processing tasks, including composing,"
"1.7.2","","","","","","5","addressing, acknowledging, answering, forwarding, studying, and"
"1.7.2","","","","","","6","filing them.  This allows our users to collaborate with high"
"1.7.2","","","","","","7","effectiveness."
"1.7.3","7c","0132","DCE","Wed 19 Oct 1983 00:30:50 GMT+00:00","5","",""
"1.7.3","","","","","","1","There is a rapidly growing availability to on-line workers of"
"1.7.3","","","","","","2","various sorts of inter-personal message handling.  The general"
"1.7.3","","","","","","3","benefit to collaborative work seems well recognized.  Some of"
"1.7.3","","","","","","4","the features of AUGMENT add unique benefits beyond what seems"
"1.7.3","","","","","","5","generally experienced, and are worth mentioning here."
"1.7.4","7d","0137","DCE","Wed 19 Oct 1983 00:35:26 GMT+00:00","6","",""
"1.7.4","","","","","","1","One unique source of benefit for AUGMENT Mail collaborators is"
"1.7.4","","","","","","2","that the content of a mail item is actually an AUGMENT document"
"1.7.4","","","","","","3","-- perhaps only a one-sentence document, but optionally a full-"
"1.7.4","","","","","","4","sized one.  As such it carries structure, may include embedded"
"1.7.4","","","","","","5","graphics, may be directly copied into a recipient's document,"
"1.7.4","","","","","","6","etc."
"1.7.5","7e","0138","DCE","Thu 20 Oct 1983 00:28:53 GMT+00:00","8","",""
"1.7.5","","","","","","1","And another unique benefit is derived from use of AUGMENT links."
"1.7.5","","","","","","2","For instance, a simple, one-sentence message might be,"
"1.7.5","","","","","","3","&quot;Frank:  Your comment in (Market-Bin, New-Plan, 4b3) seems"
"1.7.5","","","","","","4","to conflict directly with the boss's directive in (Division-"
"1.7.5","","","","","","5","Records, Dev-Policy, 7c).&quot;  When Frank gets the message, he"
"1.7.5","","","","","","6","can hold this passage in one display window, and via Jump Link"
"1.7.5","","","","","","7","commands, put each of the cited passages into other windows for"
"1.7.5","","","","","","8","immediate study."
"1.8","8","071","EKM","Thu 20 Oct 1983 05:00:59 GMT+00:00","1","",""
"1.8","","","","","","1","AUGMENT JOURNAL"
"1.8.1","8a","0125","DCE","Wed 19 Oct 1983 01:48:40 GMT+00:00","6","",""
"1.8.1","","","","","","1","Ongoing collaboration will benefit from provisions in addition"
"1.8.1","","","","","","2","to those for sharing files and handling mail.  Dialogue implies"
"1.8.1","","","","","","3","a longitudinal series of transactions that are interrelated in"
"1.8.1","","","","","","4","various ways.  For full support of task-oriented dialogue, a"
"1.8.1","","","","","","5","history of the dialogue is often valuable, and must be easily"
"1.8.1","","","","","","6","accessible through retrieval mechanisms."
