"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated"
"1","","","",""
"1.3.2.1.9.1.1","3b1i1a","0879","BKN","Thu 7 Dec 2006 01:44:48 GMT+00:00"
"1.3.2.1.9.1.1.1","3b1i1a1","0880","BKN","Thu 7 Dec 2006 01:44:57 GMT+00:00"
"1.3.2.1.9.1.1.2","3b1i1a2","0881","BKN","Thu 7 Dec 2006 01:45:01 GMT+00:00"
"1.3.2.1.9.1.1.3","3b1i1a3","0882","BKN","Thu 7 Dec 2006 01:45:05 GMT+00:00"
"1.3.2.1.10","3b1j","0837","BKN","Thu 7 Dec 2006 01:25:55 GMT+00:00"
"1.3.2.1.10.1","3b1j1","0838","BKN","Thu 7 Dec 2006 01:25:57 GMT+00:00"
"1.3.2.1.10.1.1","3b1j1a","0908","BKN","Thu 7 Dec 2006 01:52:55 GMT+00:00"
"1.3.2.1.10.1.2","3b1j1b","0902","BKN","Thu 7 Dec 2006 01:48:31 GMT+00:00"
"1.3.2.1.10.1.3","3b1j1c","0909","BKN","Thu 7 Dec 2006 01:52:58 GMT+00:00"
"1.3.2.1.10.1.4","3b1j1d","0910","BKN","Thu 7 Dec 2006 01:52:58 GMT+00:00"
"1.3.2.1.10.1.5","3b1j1e","0911","BKN","Thu 7 Dec 2006 01:52:59 GMT+00:00"
"1.3.2.1.10.1.6","3b1j1f","0896","BKN","Thu 7 Dec 2006 01:47:24 GMT+00:00"
"1.3.2.1.11","3b1k","0835","BKN","Thu 7 Dec 2006 01:25:28 GMT+00:00"
"1.3.2.1.11.1","3b1k1","0836","BKN","Thu 7 Dec 2006 01:25:33 GMT+00:00"
"1.3.2.1.11.1.1","3b1k1a","0840","BKN","Thu 7 Dec 2006 01:28:08 GMT+00:00"
"1.3.2.2","3b2","028","BKN","Mon 15 May 2006 06:19:57 GMT+00:00"
"1.3.2.2.1","3b2a","029","BKN","Tue 9 May 2006 06:49:04 GMT+00:00"
"1.3.2.2.1.1","3b2a1","095","BKN","Tue 9 May 2006 07:12:21 GMT+00:00"
"1.3.2.2.1.1.1","3b2a1a","030","BKN","Thu 7 Dec 2006 01:28:12 GMT+00:00"
"1.3.2.2.1.1.2","3b2a1b","0145","BKN","Thu 7 Dec 2006 01:49:15 GMT+00:00"
